model,variant,train_score,val_score,test_score
Logistic Regression,Raw,0.8023232763045641,0.7349301240933468,0.7287310797949096
Logistic Regression,Class Weighted,0.6668578245524605,0.5858559309237936,0.5691873138681649
Logistic Regression,Oversampled,0.666817115,0.5855986846888159,0.569064505
Logistic Regression,Undersampled,0.749143329,0.6691086417958024,0.6487212551042338
Decision Tree,Raw,0.7998886682313293,0.7305233842419904,0.7291302078536122
Decision Tree,Class Weighted,0.6505262151800602,0.5520560125715117,0.5701083786190169
Decision Tree,Oversampled,0.6591389399233244,0.5528724897520929,0.5708605814988794
Decision Tree,Undersampled,0.7515044833604141,0.6669276411079483,0.6643486537103558
Random Forest,Raw,0.8978500047789472,0.7373236325405302,0.7342421172208407
Random Forest,Class Weighted,0.9797788586458234,0.7254008287802614,0.7239415430904793
Random Forest,Oversampled,0.9906438834786487,0.7171130261664159,0.7164655675293973
Random Forest,Undersampled,0.8789289140462107,0.6720166427129411,0.6774431242516349
XGBoost,Raw,0.8065659193809317,0.7408244182600089,0.7378189186699825
XGBoost,Class Weighted,0.8065659193809317,0.7408244182600089,0.7378189186699825
XGBoost,Oversampled,0.6696269589258342,0.5961122264661637,0.6146725614810721
XGBoost,Undersampled,0.7513115554941963,0.6773964444096479,0.6857480580884836
LGBM,Raw,0.8043622937530311,0.738520387,0.7351324798133309
LGBM,Class Weighted,0.6611434427535231,0.5841838303964388,0.6033281139664118
LGBM,Oversampled,0.6610549437323223,0.5851680768607012,0.6034048693623162
LGBM,Undersampled,0.748717649,0.6717873580252437,0.6794387645451475
SGD,Raw,0.8020011398673931,0.7350531549013796,0.7301894323170919
SGB,Class Weighted,0.6686800193989855,0.6090640151663432,0.5994135887752909
SGD,Oversampled,0.6533334041325503,0.5706224799655514,0.555847226
SGD,Undersampled,0.7430191972076788,0.6719663119278368,0.6565349544072948
Naive Bayes,Raw,0.7078018967110223,0.6549545065625751,0.6609100119738418
Naive Bayes,Oversampled,0.6325724187490487,0.6059043603236829,0.616407233
Naive Bayes,Undersampled,0.654377693,0.6205226572417611,0.628933714
